# T2d · 宽度逐行明细（**每行一条**；与 t2d-extent-mismatches.txt 同格式，便于并排看）
# 列：用例 | 行# | cp 区间 | 真值宽 | 我们宽 | 差 | 桶
# 口径：桶 = 0（逐位等）/ ≤0.34 DIP（= 1 个 ideal unit）/ >0.34 DIP；三桶之和 == 行数（机检）
# 被测 shim 源 sha256（本 harness 直接编入） = 921BA9C65E9FB3BE9E31D402FD98568EE78639063D75BB4E656B20201B30DC2B
# PC 内 shim sha256                         = unknown(FP 里有该文件的行但行内无 sha256)
# hbtextline_shim_stale                     = false   （口径=源 mtime 1789965167 vs PC 产物 mtime 1789976075（basis=auth，与 run-wpfprobe.sh 的 hbt_stale() 同谓词）；**mtime 谓词、非内容比对** ⇒ 同内容重写会假阳（已登记为已知仪器局限；内容比对需要 PC 侧逐文件 sha，当前不可得））
# 仪器 = run.sh 711F39F468F61CC8 / Program.cs 149DD986A642FDFC   pc=56EE75CED8D6AECE   applocal=4/4 一致
# 族 × >0.34 红数 = （无）；各和=0 == 总数 0 : OK
# 隔离矩阵 = OK；逐族 diff = 一位未动（全部族计数与基线逐位相同）
# 合计 1298 行；0=173 ≤0.34=1125 >0.34=0；本清单只列差>0 的行，共 1125 条
A1_lat_words_w20 | 行#0 | cp=[0,2) | 真值宽=18.7833 | 我们宽=18.7840 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#1 | cp=[2,4) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#2 | cp=[4,6) | 真值宽=19.7267 | 我们宽=19.7280 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#3 | cp=[6,8) | 真值宽=11.8067 | 我们宽=11.8080 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#4 | cp=[8,10) | 真值宽=8.5433 | 我们宽=8.5440 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#5 | cp=[10,12) | 真值宽=16.1267 | 我们宽=16.4480 | 差=0.3213 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#6 | cp=[12,13) | 真值宽=9.3600 | 我们宽=9.6800 | 差=0.3200 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#7 | cp=[13,14) | 真值宽=12.5767 | 我们宽=12.5760 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#8 | cp=[14,16) | 真值宽=9.8867 | 我们宽=9.8880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#9 | cp=[16,18) | 真值宽=14.8633 | 我们宽=15.1840 | 差=0.3207 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#10 | cp=[18,20) | 真值宽=8.4633 | 我们宽=8.4640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#11 | cp=[20,22) | 真值宽=14.0133 | 我们宽=14.0160 | 差=0.0027 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#13 | cp=[23,26) | 真值宽=17.5033 | 我们宽=17.5040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#14 | cp=[26,28) | 真值宽=17.4867 | 我们宽=17.4880 | 差=0.0013 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#15 | cp=[28,31) | 真值宽=15.6300 | 我们宽=15.6320 | 差=0.0020 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#16 | cp=[31,33) | 真值宽=15.6633 | 我们宽=15.6640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#17 | cp=[33,35) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#18 | cp=[35,37) | 真值宽=13.1033 | 我们宽=13.1040 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#22 | cp=[44,46) | 真值宽=18.8633 | 我们宽=18.8640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#24 | cp=[48,50) | 真值宽=15.6633 | 我们宽=15.6640 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#25 | cp=[50,52) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#26 | cp=[52,53) | 真值宽=12.5767 | 我们宽=12.5760 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#27 | cp=[53,54) | 真值宽=8.9767 | 我们宽=8.9760 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#28 | cp=[54,57) | 真值宽=15.1367 | 我们宽=15.1360 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#29 | cp=[57,59) | 真值宽=9.0233 | 我们宽=9.0240 | 差=0.0007 | 桶=≤0.34 DIP
A1_lat_words_w20 | 行#31 | cp=[60,63) | 真值宽=15.1367 | 我们宽=15.1360 | 差=0.0007 | 桶=≤0.34 DIP
