tag	role	op0	fd	mask	win	geom	sock_id	chain_app	sym_call	cn_seq	cut_proto	expect	reason	rl	hlen
P-L5-ARCHIVE	POSCTL	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	restore:800x600@-75.7;push:1280x1024@+4.7	absent	ATTRIBUTED	paired-server-event	20	24
P-BASE-GEOM	POSCTL	12	134	0xc	8388612	800x600	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	restore:1280x1024@-9.9;push:800x600@+9.9	absent	ATTRIBUTED	paired-server-event	20	24
N-CUT-L10	NEG	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	restore:800x600@-59.3	present	NOT_ATTRIBUTED	cut-removed-effect	20	24
N-SOCK	NEG	12	134	0xc	8388612	1280x1024	absent	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	sock-id-absent	20	24
N-SYM	NEG	-	-	-	-	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	-	absent	NOINFO	symbol-level-not-evidence	-	-
N-TRIG	NEG	-	-	-	-	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	XResizeWindow	-	absent	NOINFO	no-trigger	-	-
N-WIN0	NEG	12	134	0xc	0	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	20	24
N-RL	NEG	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	24	24
N-HLEN	NEG	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	20	8
N-OP0	NEG	8	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	20	24
N-MASK0	NEG	12	134	0x0	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	12	24
N-MASKRANGE	NEG	12	134	0x4000	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	16	24
N-RLRANGE	NEG	12	134	0x3fff	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	absent	NOINFO	decode-inconsistent	68	24
N-GEOM	NEG	12	134	0xc	8388612	1024x768	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1024x768@+3.1	absent	NOINFO	geom-not-screen-or-base	20	24
N-CHAINLIB	NEG	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;writev@xwrap.so+0xd8	none	push:1280x1024@+4.7	absent	NOINFO	no-app-frame	20	24
N-NOPAIR	NEG	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	restore:800x600@-75.7	absent	NOT_ATTRIBUTED	no-server-side-pair	20	24
N-CUTNORQ	NEG	-	-	-	-	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	XResizeWindow	-	present	NOINFO	cut-without-request	-	-
E-CUTPAIR	EDGE	12	134	0xc	8388612	1280x1024	present	_XSend@libX11.so.6+0x15e;xcb_writev@libxcb.so.1+0x48;wpfgfx_cor3.so+0x131b36;wpfgfx_cor3.so+0x16fa4a	none	push:1280x1024@+4.7	present	ATTRIBUTED	paired-server-event	20	24
