0x00  MilCmdInvalid
0x01  MilCmdTransportSyncFlush
0x02  MilCmdTransportDestroyResourcesOnChannel
0x03  MilCmdPartitionRegisterForNotifications
0x04  MilCmdChannelRequestTier
0x05  MilCmdPartitionSetVBlankSyncMode
0x06  MilCmdPartitionNotifyPresent
0x07  MilCmdChannelCreateResource
0x08  MilCmdChannelDeleteResource
0x09  MilCmdChannelDuplicateHandle
0x0a  MilCmdD3DImage
0x0b  MilCmdD3DImagePresent
0x0c  MilCmdBitmapSource
0x0d  MilCmdBitmapInvalidate
0x0e  MilCmdDoubleResource
0x0f  MilCmdColorResource
0x10  MilCmdPointResource
0x11  MilCmdRectResource
0x12  MilCmdSizeResource
0x13  MilCmdMatrixResource
0x14  MilCmdPoint3DResource
0x15  MilCmdVector3DResource
0x16  MilCmdQuaternionResource
0x17  MilCmdMediaPlayer
0x18  MilCmdRenderData
0x19  MilCmdEtwEventResource
0x1a  MilCmdVisualCreate
0x1b  MilCmdVisualSetOffset
0x1c  MilCmdVisualSetTransform
0x1d  MilCmdVisualSetEffect
0x1e  MilCmdVisualSetCacheMode
0x1f  MilCmdVisualSetClip
0x20  MilCmdVisualSetAlpha
0x21  MilCmdVisualSetRenderOptions
0x22  MilCmdVisualSetContent
0x23  MilCmdVisualSetAlphaMask
0x24  MilCmdVisualRemoveAllChildren
0x25  MilCmdVisualRemoveChild
0x26  MilCmdVisualInsertChildAt
0x27  MilCmdVisualSetGuidelineCollection
0x28  MilCmdVisualSetScrollableAreaClip
0x29  MilCmdViewport3DVisualSetCamera
0x2a  MilCmdViewport3DVisualSetViewport
0x2b  MilCmdViewport3DVisualSet3DChild
0x2c  MilCmdVisual3DSetContent
0x2d  MilCmdVisual3DSetTransform
0x2e  MilCmdVisual3DRemoveAllChildren
0x2f  MilCmdVisual3DRemoveChild
0x30  MilCmdVisual3DInsertChildAt
0x31  MilCmdHwndTargetCreate
0x32  MilCmdHwndTargetSuppressLayered
0x33  MilCmdTargetUpdateWindowSettings
0x34  MilCmdGenericTargetCreate
0x35  MilCmdTargetSetRoot
0x36  MilCmdTargetSetClearColor
0x37  MilCmdTargetInvalidate
0x38  MilCmdTargetSetFlags
0x39  MilCmdHwndTargetDpiChanged
0x3a  MilCmdGlyphRunCreate
0x3b  MilCmdDoubleBufferedBitmap
0x3c  MilCmdDoubleBufferedBitmapCopyForward
0x3d  MilCmdPartitionNotifyPolicyChangeForNonInteractiveMode
0x57  MilCmdAxisAngleRotation3D
0x58  MilCmdQuaternionRotation3D
0x59  MilCmdPerspectiveCamera
0x5a  MilCmdOrthographicCamera
0x5b  MilCmdMatrixCamera
0x5c  MilCmdModel3DGroup
0x5d  MilCmdAmbientLight
0x5e  MilCmdDirectionalLight
0x5f  MilCmdPointLight
0x60  MilCmdSpotLight
0x61  MilCmdGeometryModel3D
0x62  MilCmdMeshGeometry3D
0x63  MilCmdMaterialGroup
0x64  MilCmdDiffuseMaterial
0x65  MilCmdSpecularMaterial
0x66  MilCmdEmissiveMaterial
0x67  MilCmdTransform3DGroup
0x68  MilCmdTranslateTransform3D
0x69  MilCmdScaleTransform3D
0x6a  MilCmdRotateTransform3D
0x6b  MilCmdMatrixTransform3D
0x6c  MilCmdPixelShader
0x6d  MilCmdImplicitInputBrush
0x6e  MilCmdBlurEffect
0x6f  MilCmdDropShadowEffect
0x70  MilCmdShaderEffect
0x71  MilCmdDrawingImage
0x72  MilCmdTransformGroup
0x73  MilCmdTranslateTransform
0x74  MilCmdScaleTransform
0x75  MilCmdSkewTransform
0x76  MilCmdRotateTransform
0x77  MilCmdMatrixTransform
0x78  MilCmdLineGeometry
0x79  MilCmdRectangleGeometry
0x7a  MilCmdEllipseGeometry
0x7b  MilCmdGeometryGroup
0x7c  MilCmdCombinedGeometry
0x7d  MilCmdPathGeometry
0x7e  MilCmdSolidColorBrush
0x7f  MilCmdLinearGradientBrush
0x80  MilCmdRadialGradientBrush
0x81  MilCmdImageBrush
0x82  MilCmdDrawingBrush
0x83  MilCmdVisualBrush
0x84  MilCmdBitmapCacheBrush
0x85  MilCmdDashStyle
0x86  MilCmdPen
0x87  MilCmdGeometryDrawing
0x88  MilCmdGlyphRunDrawing
0x89  MilCmdImageDrawing
0x8a  MilCmdVideoDrawing
0x8b  MilCmdDrawingGroup
0x8c  MilCmdGuidelineSet
0x8d  MilCmdBitmapCache
0x8e  MilCmdValidateStructureOrder
